İngilizce'de 'otur' ne demektir?,Sit down
İngilizce'de 'ayağa kalk' ne demektir?,Stand up
İngilizce'de 'sağa dön' ne demektir?,Turn right
İngilizce'de 'sola dön' ne demektir?,Turn left
İngilizce'de 'kapıyı aç' ne demektir?,Open the door
İngilizce'de 'kapıyı kapat' ne demektir?,Close the door
İngilizce'de 'pencereyi aç' ne demektir?,Open the window
İngilizce'de 'pencereyi kapat' ne demektir?,Close the window
İngilizce'de 'kesmek' ne demektir?,Cut
İngilizce'de 'boyamak' ne demektir?,Paint
İngilizce'de 'çizmek' ne demektir?,Draw
İngilizce'de 'renklendirmek' ne demektir?,Colour
İngilizce'de 'yapıştırmak' anlamına gelen 's' harfi ile başlayan kelime nedir?,Stick
İngilizce'de 'yapıştırmak' anlamına gelen 'g' harfi ile başlayan kelime nedir?,Glue
İngilizce'de 'söylemek' ne demektir?,Say
Anlamadığımız bir durumda kullanılan 'Afedersiniz!' ifadesinin İngilizcesi nedir?,Excuse me!
Anlamadığımız bir durumda kullanılan 'Üzgünüm!' ifadesinin İngilizcesi nedir?,I am sorry!
"Lütfen onu tekrar söyle: 'Say that _____, please.'",again
"Lütfen tekrar edebilir misin?: 'Can you _____, please?'",repeat
'This is a hamburger.' cümlesinin Türkçe karşılığı nedir?,Bu bir hamburger.
'What is your name?' sorusunun Türkçe karşılığı nedir?,Adın ne?
'My name is Ayça.' cümlesinin Türkçe karşılığı nedir?,Benim adım Ayça.
"'Veli, close the door, please.' cümlesinin Türkçe karşılığı nedir?","Veli, kapıyı kapat lütfen."
"'How are you, Jerry?' sorusunun Türkçe karşılığı nedir?","Nasılsın, Jerry?"
'I am fine.' cümlesinin Türkçe karşılığı nedir?,İyiyim.
İngilizce'de 'Teşekkür ederim' ne demektir?,Thank you
İngilizce'de 'Teşekkürler' ne demektir?,Thanks
İngilizce'de 'Rica ederim' ne demektir?,You are welcome
İngilizce'de 'Günaydın' ne demektir?,Good morning
Sınıf ortamında öğretmene nasıl hitap edilir?,Teacher
"'Open your book, Ahmet.' cümlesinin Türkçe karşılığı nedir?","Kitabını aç, Ahmet."
"'Cut, please.' ifadesinin Türkçe karşılığı nedir?","Kes, lütfen."
"'Paint, please.' ifadesinin Türkçe karşılığı nedir?","Boya, lütfen."
"'Draw, please.' ifadesinin Türkçe karşılığı nedir?","Çiz, lütfen."
"'Colour, please.' ifadesinin Türkçe karşılığı nedir?","Renklendir, lütfen."
"'Glue, please.' ifadesinin Türkçe karşılığı nedir?","Yapıştır, lütfen."
'Sit down' ifadesinin zıt anlamlısı nedir?,Stand up
'Turn right' ifadesinin zıt anlamlısı nedir?,Turn left
'Open the door' ifadesinin zıt anlamlısı nedir?,Close the door
'Open the window' ifadesinin zıt anlamlısı nedir?,Close the window
Diyalog Tamamlama: 'What is your name?' -> 'My _____ is Ayça.',name
Diyalog Tamamlama: 'How are you?' -> 'I am _____.',fine
Diyalog Tamamlama: 'Thank you.' -> 'You are _____.',welcome
İngilizce'de 'lütfen' kelimesinin karşılığı nedir?,Please
Bir nesneyi tanıtırken kullanılan kalıp: '_____ is a hamburger.',This
"'Good morning, Efe! Sit down, please.' cümlesindeki 'down' kelimesinin Türkçe karşılığı nedir?",Aşağı (Otur anlamında)
İngilizce'de 'pencere' ne demektir?,Window
İngilizce'de 'kapı' ne demektir?,Door
İngilizce'de 'kitap' ne demektir?,Book
Bir komut verirken nazik olmak için sonuna hangi kelime eklenir?,Please
"'Turn left, Murat.' cümlesindeki 'left' kelimesinin anlamı nedir?",Sol
"'Turn right, Murat.' cümlesindeki 'right' kelimesinin anlamı nedir?",Sağ
'Open your book.' komutunun Türkçe karşılığı nedir?,Kitabını aç.
"Öğretmen bir şey dediğinde tekrar etmesini istemek için: 'Say that again, _____.'",teacher
İngilizce'de 'bu' (işaret sıfatı) ne demektir?,This
