İngilizcede 'Aslan' ne demektir?,Lion
İngilizcede 'Çita' ne demektir?,Cheetah
İngilizcede 'Timsah' ne demektir?,Crocodile
İngilizcede 'Zürafa' ne demektir?,Giraffe
İngilizcede 'Kartal' ne demektir?,Eagle
İngilizcede 'Fok' ne demektir?,Seal
İngilizcede 'Köpek balığı' ne demektir?,Shark
İngilizcede 'Balina' ne demektir?,Whale
İngilizcede 'Kurt' ne demektir?,Wolf
İngilizcede 'Penguen' ne demektir?,Penguin
İngilizcede 'Fil' ne demektir?,Elephant
İngilizcede 'Ayı' ne demektir?,Bear
Vücut parçası: 'Tüy' (kuş tüyü),Feather
Vücut parçası: 'Yüzgeç',Flipper
Vücut parçası: 'Pati',Paw
Vücut parçası: 'Fildişi',Tusk
Vücut parçası: 'Kanat',Wing
Vücut parçası: 'Kuyruk',Tail
Yaşam alanı: 'Vahşi orman',Jungle
Yaşam alanı: 'Dağ',Mountain
Yaşam alanı: 'Okyanus',Ocean
Yaşam alanı: 'Tarla',Field
Yaşam alanı: 'Savan',Savanna
Sıfat: 'Ağır',Heavy
Sıfat: 'Güçsüz',Weak
Sıfat: 'Sessiz',Quiet
Sıfat: 'Tehlikeli',Dangerous
"Sıfat: 'Çok büyük, iri'",Enormous
Yetenek/Fiil: 'Tırmanmak',Climb
Yetenek/Fiil: 'Uçmak',Fly
Yetenek/Fiil: 'Avlanmak',Hunt
Yetenek/Fiil: 'Yüzmek',Swim
Yetenek/Fiil: 'Konuşmak',Talk
Hayvan Türü: 'Memeli',Mammal
Hayvan Türü: 'Sürüngen',Reptile
Hayvan Türü: 'Böcek',Insect
Soru Kelimesi: 'Hangi tür/çeşit?',What type?
Soru Kelimesi: 'Hangisi?',Which?
Kelime: 'Hayatta kalmak',Survive
"Kelime: 'Birlikte, beraber'",Together
Kısa sıfatlara 'daha' anlamı katmak için hangi ek getirilir?,-er
Uzun sıfatlara 'daha' anlamı katmak için önüne hangi kelime getirilir?,more
Kısa sıfatlara 'en' anlamı katmak için hangi ek getirilir?,-est
Uzun sıfatlara 'en' anlamı katmak için önüne hangi kelime grubu getirilir?,the most
Tamamlayınız: A gorilla is _____ than a tiger.,bigger
Tamamlayınız: An elephant is the _____ of all.,biggest
Tamamlayınız: A bear is _____ dangerous than a bee.,more
Tamamlayınız: A lion is the _____ dangerous of all.,most
Tamamlayınız: A cheetah is the _____ (fast) animal on the land.,fastest
Zorunluluk bildiren modal fiil hangisidir? (-meli / -malı),Must
Tamamlayınız: Animals _____ find food to survive.,must
Tamamlayınız: The monkey must _____ trees to be safe.,climb
Yetenek/beceri bildiren modal fiil hangisidir? (-ebilmek),Can
Tamamlayınız: A snake _____ (yapamaz) fly.,can't
Where does a lion live?,It lives in the forest.
What type of animal is a crocodile?,It is a reptile.
What does a giraffe eat?,It eats leaves of trees.
Kelime: 'Vahşi',Wild
Kelime: 'Yapraklar',Leaves
"Kelime: 'İlgilenmek, bakmak'",Take care of
Kelime: 'Saldırmak',Attack
Kelime: 'Veteriner',Vet
Kelime: 'Korkutucu',Scary
İngilizcede 'Yetenekler' ne demektir?,Abilities
İngilizcede 'Yaşam Alanı' ne demektir?,Habitat
Tamamlayınız: A parrot ____ talk.,can
İngilizcede 'Balıkçıl/Martı' ne demektir?,Seagull
Sıfat: 'Yavaş',Slow
Sıfat: 'Hızlı',Fast
Sıfat: 'Güçlü',Strong
Kelime: 'Dinlenmek',Rest
Kelime: 'Vücut kısımları',Body parts
Tamamlayınız: The zebra must be _____ to survive.,quick
Sıfat: 'Kısa',Short
Sıfat: 'Uzun',Tall
