Question,Answer
Bread ne demektir?,Ekmek
Butter ne demektir?,Tereyağı
Cheese ne demektir?,Peynir
Honey ne demektir?,Bal
Chicken ne demektir?,Tavuk
Fish ne demektir?,Balık
Soup ne demektir?,Çorba
Egg ne demektir?,Yumurta
Rice ne demektir?,Pilav
Ice cream ne demektir?,Dondurma
Coffee ne demektir?,Kahve
Tea ne demektir?,Çay
Milk ne demektir?,Süt
Water ne demektir?,Su
Orange juice ne demektir?,Portakal suyu
Lemonade ne demektir?,Limonata
Hungry ne demektir?,Aç
Thirsty ne demektir?,Susamış
"""What is your favorite food?"" ne demektir?",En sevdiğin yiyecek nedir?
"""What is your favorite drink?"" ne demektir?",En sevdiğin içecek nedir?
"""Are you hungry?"" ne demektir?",Aç mısın?
"""Are you thirsty?"" ne demektir?",Susadın mı?
"""I want soup and rice."" ne demektir?",Çorba ve pilav istiyorum.
"""Do you want some spaghetti?"" ne demektir?",Biraz spagetti ister misin?
"""Would you like some honey?"" ne demektir?",Biraz bal ister misin?
"""No thanks, I am full."" ne demektir?","Hayır teşekkürler, tokum."
"""What is this?"" ne demektir?",Bu nedir?
"""Is it a food?"" ne demektir?",Bu bir yiyecek mi?
"""What do you have for dinner?"" ne demektir?",Akşam yemeğinde ne yersin?
"""Would you like tea or orange juice?"" ne demektir?",Çay mı yoksa portakal suyu mu istersin?
