"İngilizcede ""Hello"" veya ""Hi"" kelimelerinin Türkçe karşılığı nedir?",Merhaba
"İngilizcede ""Good Morning"" ifadesinin Türkçe karşılığı nedir?",Günaydın
"Ders notuna göre ""Good Afternoon"" ifadesi Türkçeye nasıl çevrilmiştir?",İyi eğlenceler
"İngilizcede ""Good Evening"" ifadesinin Türkçe karşılığı nedir?",İyi akşamlar
"İngilizcede ""Good Night"" ifadesinin Türkçe karşılığı nedir?",İyi geceler
"İngilizcede ""Good Bye"" veya ""Bye"" kelimelerinin Türkçe karşılığı nedir?",Hoşça kal
Birisine adını sormak istediğimizde hangi soru kalıbını kullanırız?,What is your name?
"""What is your name?"" sorusuna cevap verirken kullanılan ""My name is..."" kalıbının anlamı nedir?",Benim adım...
"Kendimizi tanıtırken ""My name is..."" yerine kullanabileceğimiz diğer kısa kalıp nedir?",I am...
İngilizcede tanıştığımıza memnun olduğumuzu belirtmek için hangi kalıp kullanılır?,Nice to meet you.
"Birisi size ""Nice to meet you"" dediğinde, ""Ben de memnun oldum"" anlamında ne dersiniz?","Nice to meet you, too."
Birisine nasıl olduğunu sormak için hangi soru kalıbı kullanılır?,How are you?
"""How are you?"" sorusuna ""İyiyim"" anlamında verilebilecek iki yaygın cevap nedir?",I am good / I am fine.
"""I am okay"" ifadesinin Türkçe karşılığı nedir?",Her şey yolunda.
"""I am great"" ifadesinin Türkçe karşılığı nedir?",Harikayım.
"""I am very good"" ifadesinin Türkçe karşılığı nedir?",Çok iyiyim.
İngilizcede teşekkür etmek için kullanılan kısa kelime nedir?,Thanks
İngilizcede teşekkür etmek için kullanılan resmi ifade nedir?,Thank you
"Bir vedalaşma ifadesi olan ""See you!"" ne anlama gelir?",Görüşürüz!
"Vedalaşırken kullanılan ""See you soon"" ifadesinin Türkçe anlamı nedir?",Yakında görüşürüz.
"Cloze: ""What _____ your name?"" (Senin adın ne?)",is
"Cloze: ""Nice to meet you, _____."" (Ben de tanıştığımıza memnun oldum).",too
"Cloze: ""Good _____."" (Günaydın).",Morning
"Cloze: ""I _____ okay."" (Her şey yolunda).",am
"""Hi! My name is Ahmet"" cümlesinin Türkçesi nedir?",Selam! Benim adım Ahmet.
"""Hello! I am Melisa"" cümlesinin Türkçesi nedir?",Merhaba! Ben Melisa.
"""Good Morning, Betül. How are you?"" cümlesinin Türkçesi nedir?",Günaydın Betül. Nasılsın?
"""I am fine, thanks and you?"" cümlesinin Türkçesi nedir?","İyiyim, teşekkürler, ya sen?"
"""I am great, too. Thank you"" cümlesinin Türkçesi nedir?",Ben de harikayım. Teşekkür ederim.
"Gece yatarken babasına ""Good Night, daddy!"" diyen bir çocuk ne demiş olur?",İyi geceler babacığım!
"""Good Bye, Panda!"" diyen birine Panda nasıl karşılık vermiştir?",See you soon.
"Diyalogda geçen ""honey"" kelimesinin Türkçe karşılığı nedir?",Tatlım / Canım
"İngilizcede ""Tanışmak"" anlamına gelen kelime nedir?",Meet
"Cloze: ""Good _____."" (İyi akşamlar).",Evening
"Cloze: ""Good _____."" (İyi geceler).",Night
"Cloze: ""How _____ you?"" (Nasılsın?)",are
"Birisine adını sormak için kullanılan ""What"" kelimesinin anlamı nedir?",Ne
"""Your"" kelimesinin Türkçe karşılığı nedir?",Senin
"İngilizcede ""İsim / Ad"" anlamına gelen kelime nedir?",Name
"""I am good"" cümlesindeki ""good"" kelimesinin anlamı nedir?",İyi
"""See you"" ifadesindeki ""see"" kelimesinin temel anlamı nedir?",Görmek / Görüşmek
"Cloze: ""Good _____, Froggy!"" (Hoşça kal, Froggy!)",Bye
"""Hello! I am Ali. Nice to meet you"" cümlesinin Türkçesi nedir?",Merhaba! Ben Ali. Tanıştığımıza memnun oldum.
"""Good Evening, Linda. How are you?"" cümlesinin Türkçesi nedir?",İyi akşamlar Linda. Nasılsın?
"""Good Morning, Efe. I am okay. Thanks"" cümlesinin Türkçesi nedir?",Günaydın Efe. Her şey yolunda. Teşekkürler.
Ders notlarına göre Froggy karakteri kendini nasıl tanıtmaktadır?,I am Froggy.
"İngilizcede ""Sen"" anlamına gelen kelime nedir?",You
"İngilizcede ""Ben"" anlamına gelen kelime nedir?",I
"Cloze: ""My name _____ Ahmet.""",is
"""And you?"" sorusu bir diyalogda hangi amaçla kullanılır?",Soruyu karşı tarafa yöneltmek için.
"""I am very good. Thank you"" cümlesinde geçen ""very"" kelimesinin anlamı nedir?",Çok
"Cloze: ""See you _____."" (Yakında görüşürüz).",soon
"""Good Afternoon! What is your name?"" cümlesinin Türkçesi nedir?",İyi eğlenceler! Senin adın ne?
"""Hi! I am Melisa"" cümlesinde Melisa ne yapmaktadır?",Kendini tanıtmaktadır.
"Tanışma sırasında söylenen ""Nice to meet you, too"" cümlesindeki ""too"" kelimesinin anlamı nedir?",De / Da (Dahi anlamında)
